大类,推荐编码,推荐名称,疾病编码,疾病名称,动作编码,动作名称,动作关系,主证据编码,主指南编码,主指南名称,推荐等级,证据等级,阻断原因
冠心病,REC-CDSS-CAD-STABLEANGINA-02-01-MED,稳定型心绞痛可评估硝酸酯类、β受体阻滞剂、钙通道阻滞剂，同时进行他汀和抗血小板预防。,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,MED-CARD-55157DA54154,硝酸酯类药物,recommends_action,EVD-F857DD0B91E504B93301-ANGINA,SRC-DOC-63C1CE632EA42314,稳定性冠心病诊断与治疗指南 2018.pdf,Ⅱa,B,
冠心病,REC-CDSS-CAD-ICM-01-01-EVAL,缺血性心肌病需评估超声心动图、LVEF、心脏磁共振/存活心肌和冠脉造影。,DIS-CARD-CAD-ICM,缺血性心肌病,DXC-CARD-097806EACD3F,缺血性心肌病诊断标准,recommends_action,EVD-B20E0ABA092EBED3E733-ICM,SRC-DOC-16A94BC5A06F338E,缺血性心肌病血运重建专家共识.pdf,Ⅲ,C,
冠心病,REC-CDSS-CAD-ICM-02-01-GDMT,缺血性心肌病应进行冠心病二级预防和心功能相关药物管理。,DIS-CARD-CAD-ICM,缺血性心肌病,MED-CARD-DAE0F0B68F1D,他汀类药物,recommends_action,EVD-F1C075DF7D18CC667C1E-ICM,SRC-DOC-16A94BC5A06F338E,缺血性心肌病血运重建专家共识.pdf,未分级/指南未显式标注,未分级/指南未显式标注,
冠心病,REC-CDSS-CAD-ICM-02-02-REVASC,ICM存在可重建冠脉病变和可存活心肌时，应评估PCI或CABG。,DIS-CARD-CAD-ICM,缺血性心肌病,PLAN-CARD-TEXT-EEF9C97B59,血运重建,recommends_action,EVD-1A4240AF95B91701F45E-ICM,SRC-DOC-73CBCF74B9DAABAC,存活心肌无创影像学评价专家共识.pdf,未分级/指南未显式标注,未分级/指南未显式标注,
冠心病,REC-CDSS-CAD-OLDMI-01-01-ASSESS,陈旧性心肌梗死应评估心电图、超声心动图、LVEF和缺血/并发症风险。,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,EXAM-ECG,心电图,recommends_action,EVD-031BA794407F74F55B8B-MI,SRC-DOC-EC5A88A34A19CF0B,冠状动脉粥样硬化性心脏病患者药物治疗管理路径专家共识_周洋.pdf,Ⅰ,A,
冠心病,REC-CDSS-CAD-OLDMI-02-01-PREVENT,陈旧性心肌梗死需长期进行他汀、抗血小板、β受体阻滞剂和随访管理。,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,MED-CARD-DAE0F0B68F1D,他汀类药物,recommends_action,EVD-9DF164E84F4CF8D339F1-MI,SRC-DOC-EC5A88A34A19CF0B,冠状动脉粥样硬化性心脏病患者药物治疗管理路径专家共识_周洋.pdf,未分级/指南未显式标注,未分级/指南未显式标注,
冠心病,REC-CDSS-CAD-SILENT-01-01-SCREEN,隐匿性冠心病应在高危人群中结合心电图、负荷试验、冠脉CTA或冠脉造影确认缺血/冠脉病变。,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,DXC-CARD-CAD-SILENT-ISCHEMIA-CURATED-20260628,隐匿性冠心病诊断标准,recommends_action,EVD-4A1266C3DC0FB769419C-AMI,SRC-DOC-63C1CE632EA42314,稳定性冠心病诊断与治疗指南 2018.pdf,Ⅰ,C,
冠心病,REC-CDSS-CAD-SILENT-02-01-PREVENT,隐匿性冠心病应按冠心病风险管理进行他汀、抗血小板和危险因素控制。,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,MED-CARD-DAE0F0B68F1D,他汀类药物,recommends_action,EVD-9BAE5559CD59D53912E6-MI,SRC-DOC-0CFCD79F003BFB93,CCS CN 2024.pdf,未分级/指南未显式标注,未分级/指南未显式标注,
心肌病,REC-CDSS-CM-HCM-01-01-DIAG,疑似肥厚型心肌病应结合超声心动图、心脏磁共振、最大室壁厚度和家族史确认诊断。,DIS-CARD-CM-HCM,肥厚型心肌病,DXC-CARD-4335F6498D1C,肥厚型心肌病诊断标准,recommends_action,EVD-986C7CF16E3D3252DF80-HCM,SRC-DOC-6605420FFBDD9D1D,肥厚型心肌病激发_负荷超声心动图临床应用指南(2024版).pdf,I,B,
心肌病,REC-CDSS-CM-HCM-02-01-SCD-RISK,HCM确诊后应评估猝死风险并判断ICD适应证。,DIS-CARD-CM-HCM,肥厚型心肌病,RISK-CARD-C72CDDDDE658,肥厚型心肌病风险分层,recommends_action,EVD-FEC5483CB7E25D200A90-HCM,SRC-DOC-6605420FFBDD9D1D,肥厚型心肌病激发_负荷超声心动图临床应用指南(2024版).pdf,Ⅰ,B,
心肌病,REC-CDSS-CM-HCM-03-01-MED,有症状HCM患者应优先评估β受体阻滞剂或非二氢吡啶类钙通道阻滞剂。,DIS-CARD-CM-HCM,肥厚型心肌病,PLAN-CARD-C73CCA666CCA,肥厚型心肌病治疗方案,recommends_action,EVD-7C6A63C34029A8BAAD7F-HCM,SRC-DOC-6605420FFBDD9D1D,肥厚型心肌病激发_负荷超声心动图临床应用指南(2024版).pdf,Ⅰ,B,
心肌病,REC-CDSS-CM-HCM-03-02-SRT,药物治疗后仍有重度症状且存在显著LVOTO时，可评估室间隔切除术或酒精室间隔消融术。,DIS-CARD-CM-HCM,肥厚型心肌病,PROC-SEPTAL-MYECTOMY,室间隔切除术,recommends_action,EVD-98CDE2336CD2602F64A6-HCM,SRC-DOC-80984BC35C87AC53,中国 成人肥厚型心肌病诊断与治疗指南2023.pdf,Ⅱa,C,
心肌病,REC-CDSS-CM-HCM-04-01-FOLLOW,HCM应定期复评症状、心电/动态心电图、影像学和家系风险。,DIS-CARD-CM-HCM,肥厚型心肌病,FU-CARD-B30DF4D6DE67,肥厚型心肌病随访方案,recommends_action,EVD-FEC5483CB7E25D200A90-HCM,SRC-DOC-6605420FFBDD9D1D,肥厚型心肌病激发_负荷超声心动图临床应用指南(2024版).pdf,Ⅰ,B,
心肌病,REC-CDSS-CM-DCM-01-01-DIAG,疑似扩张型心肌病应结合超声心动图、心脏磁共振、LVEF和病因排查确认诊断。,DIS-CARD-CM-DCM,扩张型心肌病,DXC-CARD-16CFF57650C6,扩张型心肌病诊断标准,recommends_action,EVD-EFFD6C9338D2DA61242A-DCM,SRC-DOC-8917447CF08D5176,中国心肌病综合管理指南2025.pdf,Ⅰ,C,
心肌病,REC-CDSS-CM-DCM-02-01-GDMT,DCM合并心衰或LVEF下降时，应评估ACEI/ARB、β受体阻滞剂、利尿剂和醛固酮受体拮抗剂。,DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,recommends_action,EVD-3CFA57D41D78DD48FF61-DCM,SRC-DOC-65A62585E5B5B852,中国 扩张型心肌病诊断和治疗指南2018.pdf,未分级/指南未显式标注,未分级/指南未显式标注,
心肌病,REC-CDSS-CM-DCM-02-02-DEVICE,DCM经规范治疗后仍有低LVEF或高危心律失常时，应评估ICD或心脏再同步治疗。,DIS-CARD-CM-DCM,扩张型心肌病,PROC-ICD,埋藏式心脏复律除颤器,recommends_action,EVD-B0515FA1A3738BD14769-DCM,SRC-DOC-65A62585E5B5B852,中国 扩张型心肌病诊断和治疗指南2018.pdf,未分级/指南未显式标注,未分级/指南未显式标注,
心肌病,REC-CDSS-CM-DCM-03-01-FOLLOW,DCM应定期复评心功能、心律失常、遗传风险和是否需要高级心衰治疗。,DIS-CARD-CM-DCM,扩张型心肌病,FU-CARD-9B799CB8CABF,扩张型心肌病随访方案,recommends_action,EVD-9D9366D42AA49B403F52-DCM,SRC-DOC-8917447CF08D5176,中国心肌病综合管理指南2025.pdf,Ⅰ,C,
心肌病,REC-CDSS-CM-RCM-01-01-DIAG,疑似限制型心肌病应结合超声、心脏磁共振和必要时心内膜心肌活检明确病因。,DIS-CARD-CM-RCM,限制型心肌病,DXC-CARD-F68ECA7670AB,限制型心肌病诊断标准,recommends_action,EVD-50CACACBE7159BAEE493-RCM,SRC-DOC-D67714E8DE3D47F1,ESC指南：心肌病的管理2023.pdf,未分级/指南未显式标注,未分级/指南未显式标注,
心肌病,REC-CDSS-CM-RCM-02-01-TREAT,RCM治疗应围绕病因治疗、容量控制、心律失常管理和必要时高级心衰治疗评估。,DIS-CARD-CM-RCM,限制型心肌病,PLAN-CARD-8419002B35F1,限制型心肌病治疗方案,recommends_action,EVD-9D9366D42AA49B403F52-RCM,SRC-DOC-8917447CF08D5176,中国心肌病综合管理指南2025.pdf,Ⅰ,C,
心肌病,REC-CDSS-CM-ACM-01-01-DIAG,疑似致心律失常性心肌病应结合心电图、动态心电图、CMR和基因检测进行谱系分型。,DIS-CARD-CM-ACM,致心律失常性心肌病,DXC-CARD-E0CC534A2482,致心律失常性心肌病诊断标准,recommends_action,EVD-CF497DD49ED9FFA43088-ACM,SRC-DOC-372CA06E729E0563,心肌病心内膜心肌活检及病理检查临床应用指南.pdf,Ⅰ,C,
心肌病,REC-CDSS-CM-ACM-02-01-RISK,ACM应进行猝死风险分层，必要时评估ICD，并避免高强度竞技运动。,DIS-CARD-CM-ACM,致心律失常性心肌病,RISK-CARD-341E5DDF79BA,致心律失常性心肌病风险分层,recommends_action,EVD-E5A45091773F66A2C587-ACM,SRC-DOC-8917447CF08D5176,中国心肌病综合管理指南2025.pdf,Ⅰ,B,
心肌病,REC-CDSS-CM-ACM-03-01-TREAT,ACM治疗应结合心律失常控制、ICD适应证、心衰治疗和定期随访复评。,DIS-CARD-CM-ACM,致心律失常性心肌病,PLAN-CARD-8BABC3547777,致心律失常性心肌病治疗方案,recommends_action,EVD-CF497DD49ED9FFA43088-ACM,SRC-DOC-D67714E8DE3D47F1,ESC指南：心肌病的管理2023.pdf,Ⅰ,C,
心肌病,REC-CDSS-CM-ARVC-01-01-DIAG,疑似ARVC应结合心电图、动态心电图、CMR、基因检测和诊断标准确认诊断。,DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,DXC-CARD-C8CFD05F6624,致心律失常性右心室心肌病诊断标准,recommends_action,EVD-339944A5C77F49EF09A3-ARVC,SRC-DOC-D67714E8DE3D47F1,ESC指南：心肌病的管理2023.pdf,Ⅰ,C,
心肌病,REC-CDSS-CM-ARVC-02-01-TREAT,ARVC应进行猝死风险分层，必要时评估ICD、抗心律失常药物和长期随访。,DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,RISK-CARD-B8562DBAE6B8,致心律失常性右心室心肌病风险分层,recommends_action,EVD-339944A5C77F49EF09A3-ARVC,SRC-DOC-EE4059BC9FA37E66,心肌病诊断与治疗建议  2007.pdf,Ⅰ,C,
心肌病,REC-CDSS-CM-ALVC-01-01-DIAG,疑似ALVC应结合CMR-LGE、心电/动态心电图和基因检测评估左室受累。,DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,DXC-CARD-CM-ALVC-PADUA-LV,ALVC左心室受累诊断流程,recommends_action,EVD-CF497DD49ED9FFA43088-ALVC,SRC-DOC-80984BC35C87AC53,中国 成人肥厚型心肌病诊断与治疗指南2023.pdf,Ⅰ,C,
心肌病,REC-CDSS-CM-ALVC-02-01-TREAT,ALVC应进行猝死风险复评，必要时评估ICD、抗心律失常治疗和心衰治疗。,DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,RISK-CARD-D82F521AFD8B,致心律失常性左心室心肌病风险分层,recommends_action,EVD-FEC5483CB7E25D200A90-HCM,SRC-DOC-8917447CF08D5176,中国心肌病综合管理指南2025.pdf,Ⅰ,C,
心肌病,REC-CDSS-CM-ABVC-01-01-DIAG,疑似ABVC应结合CMR、心电/动态心电图、双心室受累证据和基因检测确认诊断。,DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,DXC-CARD-CM-ABVC-PADUA-BIVENTRICULAR,ABVC双心室受累诊断流程,recommends_action,EVD-372D6AE9E53CCA620998-ABVC,SRC-DOC-8917447CF08D5176,中国心肌病综合管理指南2025.pdf,Ⅰ,B,
心肌病,REC-CDSS-CM-ABVC-02-01-TREAT,ABVC应按致心律失常性心肌病谱系进行猝死风险分层、ICD评估和长期随访。,DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,RISK-CARD-73C4D46DAD92,致心律失常性双心室心肌病风险分层,recommends_action,EVD-FEC5483CB7E25D200A90-HCM,SRC-DOC-D67714E8DE3D47F1,ESC指南：心肌病的管理2023.pdf,Ⅰ,B,
心肌病,REC-CDSS-CM-AMYLOID-01-01-DIAG,疑似淀粉样变心肌病应结合超声、CMR、心脏生物标志物和必要时心肌活检进行诊断和分型。,DIS-CARD-CM-AMYLOID,淀粉样变心肌病,DXC-CARD-C5CD88A6E22B,淀粉样变心肌病诊断标准,recommends_action,EVD-FEBE918B1F5CEAC43613-AMYLOID,SRC-DOC-8917447CF08D5176,中国心肌病综合管理指南2025.pdf,Ⅰ,B,
心肌病,REC-CDSS-CM-AMYLOID-02-01-TREAT,淀粉样变心肌病应按分型进行病因治疗评估，并进行心衰管理和长期随访。,DIS-CARD-CM-AMYLOID,淀粉样变心肌病,PLAN-CARD-BE44DFBB5552,淀粉样变心肌病治疗方案,recommends_action,EVD-B178764E739FF4AEEC19-AMYLOID,SRC-DOC-8917447CF08D5176,中国心肌病综合管理指南2025.pdf,Ⅰ,C,
心肌病,REC-CDSS-CM-FABRY-01-01-DIAG,疑似法布雷病心肌病应结合α-半乳糖苷酶A活性、基因检测、CMR和必要时心肌活检确认诊断。,DIS-CARD-CM-FABRY,法布雷病心肌病,DXC-CARD-CM-FABRY-ENZYME-GENE-EMB,酶活性、基因检测和心肌活检诊断,recommends_action,EVD-5EDB3F7B94CF24F5594F-FABRY,SRC-DOC-829A089219708BB6,成人法布雷病心肌病诊断与治疗中国专家共识.pdf,未分级/共识意见,未分级/共识证据,
心肌病,REC-CDSS-CM-FABRY-02-01-TREAT,法布雷病心肌病应评估酶替代治疗，并长期监测心脏结构、心律和功能。,DIS-CARD-CM-FABRY,法布雷病心肌病,PLAN-CARD-D8661B4FB4B1,法布雷病心肌病治疗方案,recommends_action,EVD-3FD202AC636B5671F2A3-FABRY,SRC-DOC-8917447CF08D5176,中国心肌病综合管理指南2025.pdf,未分级/指南未显式标注,未分级/指南未显式标注,
心肌病,REC-CDSS-CM-ATRIAL-01-01-DIAG,心房心肌病应结合房性心律失常、心房结构/功能异常和EHRA组织学分型框架进行评估。,DIS-CARD-CM-ATRIAL,心房心肌病,DXC-CARD-CM-ATRIAL-EHRA-CLASS,EHRA心房心肌病组织学分型诊断框架,recommends_action,EVD-28A6FE4B0E63BA664B7E-ATRIAL,SRC-DOC-8917447CF08D5176,中国心肌病综合管理指南2025.pdf,Ⅰ,C,
心肌病,REC-CDSS-CM-ATRIAL-02-01-TREAT,心房心肌病合并房性心律失常时，应评估抗凝、心室率控制和长期随访。,DIS-CARD-CM-ATRIAL,心房心肌病,PLAN-CARD-CM-ATRIAL-AF-STROKE-RISK-MANAGEMENT,房性心律失常与卒中风险管理,recommends_action,EVD-773C089A9E762740DADF-ATRIAL,SRC-DOC-CA7BFFBD6545C234,心肌病  ESC  2023.pdf,Ⅰ,C,
心肌病,REC-CDSS-CM-NDLVCM-01-01-DIAG,疑似非扩张型左心室心肌病应结合CMR-LGE、左室功能、心电/动态心电图和基因检测进行诊断。,DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病,DXC-CARD-CM-NDLVCM-CMR-LGE,CMR-LGE非缺血性瘢痕诊断依据,recommends_action,EVD-D16471CFF506DF276E32-RCM,SRC-DOC-D67714E8DE3D47F1,ESC指南：心肌病的管理2023.pdf,未分级/指南未显式标注,未分级/指南未显式标注,
心肌病,REC-CDSS-CM-NDLVCM-02-01-RISK,NDLVCM应长期复评表型、LGE、心律失常和猝死风险，必要时评估ICD。,DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病,PLAN-CARD-0E0B6D3DD944,非扩张型左心室心肌病治疗方案,recommends_action,EVD-A656E5AC72927715A5A1-DCM,SRC-DOC-CA7BFFBD6545C234,心肌病  ESC  2023.pdf,未分级/指南未显式标注,未分级/指南未显式标注,
冠心病,REC-CDSS-CM-ICM-01-01-DIAG,疑似缺血性心肌病应结合冠状动脉造影、超声心动图、CMR和LVEF评估确认缺血性病因。,DIS-CARD-CAD-ICM,缺血性心肌病,DXC-CARD-097806EACD3F,缺血性心肌病诊断标准,recommends_action,EVD-B20E0ABA092EBED3E733-ICM,SRC-DOC-16A94BC5A06F338E,缺血性心肌病血运重建专家共识.pdf,未分级/指南未显式标注,未分级/指南未显式标注,
冠心病,REC-CDSS-CM-ICM-02-01-REVASC,缺血性心肌病应在规范药物治疗基础上评估冠状动脉造影、PCI或其他血运重建策略。,DIS-CARD-CAD-ICM,缺血性心肌病,PLAN-CARD-260280003FF2,缺血性心肌病治疗方案,recommends_action,EVD-77D0B101A4E9B7EF652C-ICM,SRC-DOC-16A94BC5A06F338E,缺血性心肌病血运重建专家共识.pdf,未分级/指南未显式标注,未分级/指南未显式标注,
心力衰竭,REC-CDSS-HF-HF-01-01-DIAG,疑似心力衰竭时，应结合心力衰竭诊断标准、利钠肽、左心室射血分数、超声心动图进行诊断确认和必要鉴别。,DIS-CARD-HF,心力衰竭,DXC-CARD-C9F14771A730,心力衰竭诊断标准,recommends_action,EVD-C3D617211B596CF0E5CE-HF,SRC-DOC-E2AE11B44F6F744B,中国心力衰竭诊断和治疗指南2024.pdf,Ⅰ,C,
心力衰竭,REC-CDSS-HF-HF-02-01-RISK,心力衰竭确诊或高度疑似后，应结合心力衰竭风险分层、利尿剂抵抗进行风险分层和高危因素识别。,DIS-CARD-HF,心力衰竭,RISK-CARD-FDA995103C36,心力衰竭风险分层,recommends_action,EVD-98F1F8383E6558161C56-HF,SRC-DOC-7476B9BFB2D92F3A,射血分数保留的心力衰竭诊断与治疗中国专家共识 2025.pdf,Ⅰ,C,
心力衰竭,REC-CDSS-HF-HF-03-01-TREAT,心力衰竭治疗应根据病情严重程度、禁忌证和患者特征选择心力衰竭治疗方案、β受体阻滞剂、盐皮质激素受体拮抗剂、血管紧张素Ⅱ受体阻滞剂、血管紧张素受体脑啡肽酶抑制剂等。,DIS-CARD-HF,心力衰竭,PLAN-CARD-EFF16DE5C7BC,心力衰竭治疗方案,recommends_action,EVD-6540A6A24A533BF087A7-HF,SRC-DOC-E2AE11B44F6F744B,中国心力衰竭诊断和治疗指南2024.pdf,Ⅱa,C,
心力衰竭,REC-CDSS-HF-HF-04-01-FOLLOW,心力衰竭稳定期或治疗后，应按心力衰竭随访方案、心力衰竭预后进行随访和复评。,DIS-CARD-HF,心力衰竭,FU-CARD-8BCE7C3349BC,心力衰竭随访方案,recommends_action,EVD-3461CF8721AE7EC69AFB-HF,SRC-DOC-F0DDA79BAB227E88,【医脉通】2020心肌梗死后心力衰竭防治专家共识.pdf,Ⅰ,A,
心力衰竭,REC-CDSS-HF-HF-AHF-01-01-DIAG,疑似急性心力衰竭时，应结合心力衰竭诊断标准、急性心力衰竭诊断标准、利钠肽、左心室射血分数、超声心动图进行诊断确认和必要鉴别。,DIS-CARD-HF-AHF,急性心力衰竭,DXC-CARD-C9F14771A730,心力衰竭诊断标准,recommends_action,EVD-604937B6EF62F7EE29D1-AHF,SRC-DOC-F0DDA79BAB227E88,【医脉通】2020心肌梗死后心力衰竭防治专家共识.pdf,Ⅱb,B,
心力衰竭,REC-CDSS-HF-HF-AHF-02-01-RISK,急性心力衰竭确诊或高度疑似后，应结合利尿剂抵抗进行风险分层和高危因素识别。,DIS-CARD-HF-AHF,急性心力衰竭,COMP-CARD-2517B09A02C5,利尿剂抵抗,recommends_action,EVD-D33B79AC036793E90BBD-AHF,SRC-DOC-E2AE11B44F6F744B,中国心力衰竭诊断和治疗指南2024.pdf,Ⅱb,B,
心力衰竭,REC-CDSS-HF-HF-AHF-03-01-TREAT,急性心力衰竭治疗应根据病情严重程度、禁忌证和患者特征选择急性心力衰竭治疗方案、β受体阻滞剂、血管紧张素Ⅱ受体阻滞剂、血管紧张素受体脑啡肽酶抑制剂、血管紧张素转换酶抑制剂等。,DIS-CARD-HF-AHF,急性心力衰竭,PLAN-CARD-8DE84AB1F5CB,急性心力衰竭治疗方案,recommends_action,EVD-D33B79AC036793E90BBD-AHF,SRC-DOC-F0DDA79BAB227E88,【医脉通】2020心肌梗死后心力衰竭防治专家共识.pdf,未分级/指南未显式标注,未分级/指南未显式标注,
心力衰竭,REC-CDSS-HF-HF-AHF-04-01-FOLLOW,急性心力衰竭稳定期或治疗后，应按心力衰竭随访方案、急性心力衰竭随访方案、急性心力衰竭预后进行随访和复评。,DIS-CARD-HF-AHF,急性心力衰竭,FU-CARD-8BCE7C3349BC,心力衰竭随访方案,recommends_action,EVD-0B3DF31570027ED63B5E-AHF,SRC-DOC-F0DDA79BAB227E88,【医脉通】2020心肌梗死后心力衰竭防治专家共识.pdf,Ⅰ,A,
心力衰竭,REC-CDSS-HF-HF-BIVENTRICULAR-01-01-DIAG,疑似全心衰竭时，应结合心力衰竭诊断标准、利钠肽、左心室射血分数、超声心动图进行诊断确认和必要鉴别。,DIS-CARD-HF-BIVENTRICULAR,全心衰竭,DXC-CARD-C9F14771A730,心力衰竭诊断标准,recommends_action,EVD-C3D617211B596CF0E5CE-HFpEF,SRC-DOC-7476B9BFB2D92F3A,射血分数保留的心力衰竭诊断与治疗中国专家共识 2025.pdf,Ⅰ,C,
心力衰竭,REC-CDSS-HF-HF-BIVENTRICULAR-02-01-RISK,全心衰竭确诊或高度疑似后，应结合利尿剂抵抗进行风险分层和高危因素识别。,DIS-CARD-HF-BIVENTRICULAR,全心衰竭,COMP-CARD-2517B09A02C5,利尿剂抵抗,recommends_action,EVD-F097B2E65B1AE7A76EF6-BIVENTRICULAR,SRC-DOC-F0DDA79BAB227E88,【医脉通】2020心肌梗死后心力衰竭防治专家共识.pdf,未分级/共识意见,未分级/共识证据,
心力衰竭,REC-CDSS-HF-HF-BIVENTRICULAR-03-01-TREAT,全心衰竭治疗应根据病情严重程度、禁忌证和患者特征选择全心衰竭治疗方案。,DIS-CARD-HF-BIVENTRICULAR,全心衰竭,PLAN-CARD-E34C37595CAA,全心衰竭治疗方案,recommends_action,EVD-0A7C5931A82DC7AF2B3A-BIVENTRICULAR,SRC-DOC-F0DDA79BAB227E88,【医脉通】2020心肌梗死后心力衰竭防治专家共识.pdf,Ⅰ,C,
心力衰竭,REC-CDSS-HF-HF-BIVENTRICULAR-04-01-FOLLOW,全心衰竭稳定期或治疗后，应按心力衰竭随访方案、全心衰竭预后进行随访和复评。,DIS-CARD-HF-BIVENTRICULAR,全心衰竭,FU-CARD-8BCE7C3349BC,心力衰竭随访方案,recommends_action,EVD-0A7C5931A82DC7AF2B3A-BIVENTRICULAR,SRC-DOC-F0DDA79BAB227E88,【医脉通】2020心肌梗死后心力衰竭防治专家共识.pdf,未分级/共识意见,未分级/共识证据,
心力衰竭,REC-CDSS-HF-HF-CHF-01-01-DIAG,疑似慢性心力衰竭时，应结合心力衰竭诊断标准、慢性心力衰竭诊断标准、利钠肽、左心室射血分数、超声心动图进行诊断确认和必要鉴别。,DIS-CARD-HF-CHF,慢性心力衰竭,DXC-CARD-C9F14771A730,心力衰竭诊断标准,recommends_action,EVD-730F2D03C679B1096400-CHF,SRC-DOC-E2AE11B44F6F744B,中国心力衰竭诊断和治疗指南2024.pdf,Ⅰ,C,
心力衰竭,REC-CDSS-HF-HF-CHF-02-01-RISK,慢性心力衰竭确诊或高度疑似后，应结合利尿剂抵抗进行风险分层和高危因素识别。,DIS-CARD-HF-CHF,慢性心力衰竭,COMP-CARD-2517B09A02C5,利尿剂抵抗,recommends_action,EVD-86EC3B3113DE4C6C6CDE-CHF,SRC-DOC-F0DDA79BAB227E88,【医脉通】2020心肌梗死后心力衰竭防治专家共识.pdf,未分级/共识意见,未分级/共识证据,
心力衰竭,REC-CDSS-HF-HF-CHF-03-01-TREAT,慢性心力衰竭治疗应根据病情严重程度、禁忌证和患者特征选择慢性心力衰竭治疗方案、β受体阻滞剂、血管紧张素Ⅱ受体阻滞剂、血管紧张素受体脑啡肽酶抑制剂、血管紧张素转换酶抑制剂等。,DIS-CARD-HF-CHF,慢性心力衰竭,PLAN-CARD-CDCF4B5B8556,慢性心力衰竭治疗方案,recommends_action,EVD-D33B79AC036793E90BBD-CHF,SRC-DOC-8D7E81943229E743,中国 心脏再同步治疗慢性心力衰竭的中国专家共识（2021）.pdf,Ⅰ,A,
心力衰竭,REC-CDSS-HF-HF-CHF-04-01-FOLLOW,慢性心力衰竭稳定期或治疗后，应按心力衰竭随访方案、慢性心力衰竭随访方案、慢性心力衰竭预后进行随访和复评。,DIS-CARD-HF-CHF,慢性心力衰竭,FU-CARD-8BCE7C3349BC,心力衰竭随访方案,recommends_action,EVD-730F2D03C679B1096400-CHF,SRC-DOC-C440C68F7BD2DFFB,心力衰竭药物治疗相关高钾血症防治专家共识2024.pdf,Ⅰ,C,
心力衰竭,REC-CDSS-HF-HF-DIALYSIS-CHF-01-01-DIAG,疑似透析患者慢性心力衰竭时，应结合心力衰竭诊断标准、透析患者慢性心力衰竭诊断标准、利钠肽、左心室射血分数、超声心动图进行诊断确认和必要鉴别。,DIS-CARD-HF-DIALYSIS-CHF,透析患者慢性心力衰竭,DXC-CARD-C9F14771A730,心力衰竭诊断标准,recommends_action,EVD-C7EFF9B64AA69B4A7F2C-HF,SRC-DOC-7476B9BFB2D92F3A,射血分数保留的心力衰竭诊断与治疗中国专家共识 2025.pdf,未分级/指南未显式标注,未分级/指南未显式标注,
心力衰竭,REC-CDSS-HF-HF-DIALYSIS-CHF-02-01-RISK,透析患者慢性心力衰竭确诊或高度疑似后，应结合利尿剂抵抗进行风险分层和高危因素识别。,DIS-CARD-HF-DIALYSIS-CHF,透析患者慢性心力衰竭,COMP-CARD-2517B09A02C5,利尿剂抵抗,recommends_action,EVD-1B0F05AB400FADC30ACA-MI,SRC-DOC-F0DDA79BAB227E88,【医脉通】2020心肌梗死后心力衰竭防治专家共识.pdf,未分级/指南未显式标注,未分级/指南未显式标注,
心力衰竭,REC-CDSS-HF-HF-DIALYSIS-CHF-03-01-TREAT,透析患者慢性心力衰竭治疗应根据病情严重程度、禁忌证和患者特征选择透析患者慢性心力衰竭治疗方案、β受体阻滞剂、血管紧张素Ⅱ受体阻滞剂、血管紧张素转换酶抑制剂。,DIS-CARD-HF-DIALYSIS-CHF,透析患者慢性心力衰竭,PLAN-CARD-C3F083B7CCAC,透析患者慢性心力衰竭治疗方案,recommends_action,EVD-6540A6A24A533BF087A7-HFrEF,SRC-DOC-E2AE11B44F6F744B,中国心力衰竭诊断和治疗指南2024.pdf,未分级/指南未显式标注,未分级/指南未显式标注,
心力衰竭,REC-CDSS-HF-HF-DIALYSIS-CHF-04-01-FOLLOW,透析患者慢性心力衰竭稳定期或治疗后，应按心力衰竭随访方案、透析患者慢性心力衰竭随访方案、透析患者慢性心力衰竭预后进行随访和复评。,DIS-CARD-HF-DIALYSIS-CHF,透析患者慢性心力衰竭,FU-CARD-8BCE7C3349BC,心力衰竭随访方案,recommends_action,EVD-08DBB97D7CB39A1106D6-CHF,SRC-DOC-29490E0606CAC1D0,中国透析患者慢性心力衰竭管理指南 2022.pdf,未分级/指南未显式标注,未分级/指南未显式标注,
